ID,GROUPE,MUSCLE,SWE_raw,ACTIVATION,LRELATIVE,F_V,ForceRelative
1,NHE,SM,-0.1,0.37499383342729,0.62467636676092,1.08188546515324,0.26938010421723
2,NHE,SM,2.0,0.59325783493661,0.61195993054797,1.09452093178234,0.41199607461726
3,NHE,SM,-1.4,0.41354575615354,0.67455694673895,1.08748943308763,0.33974183056235
4,NHE,SM,-7.6,0.42851333774267,0.62860146903282,1.08639061170794,0.32005130939319
5,NHE,SM,-7.6,0.46639005444292,0.71870703953786,1.06318032358086,0.38316919313169
6,NHE,SM,-2.8,0.3738697410948,0.74858901961756,1.06460683745251,0.3167273084006
7,NHE,SM,-10.2,0.40144630924808,0.62797521718622,1.08374032761211,0.29149590103166
8,NHE,SM,22.1,0.53254178302915,0.59598550001623,1.07685617978245,0.36740475878908
9,NHE,SM,13.6,0.43363395962999,0.69762213574808,1.09505389641753,0.35984896084403
10,NHE,SM,-1.0,0.80418885357907,0.64519517763218,1.07412506899999,0.57602014853749
1,NHE,ST,6.7,0.65232643530846,0.93663298266568,1.08031952230022,0.67138103637921
2,NHE,ST,2.4,0.37187066623122,0.87504013000468,1.09907610775636,0.39008838428055
3,NHE,ST,23.1,0.53359650896111,0.95870708315466,1.08979814335496,0.58019187077843
4,NHE,ST,10.2,0.40807907138968,0.89814674138813,1.0895678594587,0.43323978332534
5,NHE,ST,17.3,0.25660968216937,0.98991167522519,1.07522752568605,0.28162583200842
6,NHE,ST,3.1,0.40820047260522,0.99120817320143,1.06941333354658,0.44339496605677
7,NHE,ST,11.7,0.55019066137216,0.95824126706588,1.08179325390821,0.56451142701687
8,NHE,ST,23.9,0.21000650016022,0.95159991818378,1.08251525583297,0.21383864679771
9,NHE,ST,6.0,0.45141834396074,1.00269003003987,1.10102392938449,0.50190352103583
10,NHE,ST,26.4,0.63889684860738,0.94116793388117,1.07921227609499,0.66328798910024
1,NHE,BF,4.5,0.55841378662988,0.67999160662284,1.07090705123661,0.45027574284246
2,NHE,BF,3.6,0.5957449913604,0.67776837101054,1.08189352859572,0.4607687512207
3,NHE,BF,12.6,0.37440973723337,0.74459678938755,1.07185607451101,0.32604557162426
4,NHE,BF,3.4,0.50765438121623,0.68103144225544,1.07011043542925,0.40386134217911
5,NHE,BF,-3.3,0.47965152550755,0.81064406620513,1.049603823222,0.43105847464913
6,NHE,BF,-4.1,0.69331676380774,0.79703512574095,1.04934969909012,0.59673759149216
7,NHE,BF,2.5,0.62833070257113,0.73240310297539,1.06968646894219,0.52206740061107
8,NHE,BF,2.5,0.29538785543802,0.68660248766864,1.06752683245287,0.23317260852667
9,NHE,BF,3.5,0.46661966893755,0.77458177021473,1.07129136788431,0.41280978133633
10,NHE,BF,-8.5,0.68207755478233,0.72125739349951,1.06352236307977,0.54907758185352
11,DL,SM,1.3,0.34642131355639,1.01780101073998,1.08918105999811,0.39286778414992
12,DL,SM,8.5,0.29199099264781,1.25237289236344,1.09387137799815,0.39968992359641
13,DL,SM,8.4,0.2812740882601,1.34906366874408,1.0779422608903,0.41281025051121
14,DL,SM,5.5,0.1759396189004,1.14692631736896,1.095860496562,0.24193196077461
15,DL,SM,5.8,0.18297774023987,1.31501258030558,1.08536712851859,0.26122982006286
16,DL,SM,8.8,0.13768932586816,1.46701012533339,1.10480695404837,0.22193194623013
17,DL,SM,6.2,0.18297774023987,1.31501258030558,1.08536712851859,0.26122982006286
18,DL,SM,22.0,0.18431573061791,1.03240816739339,1.06724903823981,0.19859562029933
19,DL,SM,4.0,0.3325193072059,1.25475397428199,1.0715591850369,0.44850631011687
20,DL,SM,20.4,0.27071298336423,1.20111373783718,1.0791881114408,0.34290065715581
21,DL,SM,-7.3,0.15508697208674,1.32066273121692,1.0635233303143,0.22445183235011
11,DL,ST,-6.7,0.22400382281605,1.14863087357248,1.1024235495599,0.2880851425383
12,DL,ST,5.5,0.14341501952232,1.2886426689286,1.10351094599166,0.20596111752355
13,DL,ST,0.0,0.16027538973446,1.35071886351019,1.0862010449574,0.24194573414286
14,DL,ST,-3.9,0.1720232586953,1.22530105576895,1.10399851322717,0.24704163295328
15,DL,ST,-2.7,0.1443942432978,1.32227273205453,1.09909437015035,0.21021078159254
16,DL,ST,-1.5,0.11411227024892,1.41725502918171,1.1163784493427,0.18117734185362
17,DL,ST,1.0,0.1443942432978,1.32227273205453,1.09909437015035,0.21021078159254
18,DL,ST,-1.9,0.11744467287367,1.16000815374227,1.07684810754537,0.14875780183047
19,DL,ST,-3.6,0.18382146108035,1.28814587615041,1.08311837761934,0.25681277485492
20,DL,ST,-2.3,0.15549164061486,1.25732483087464,1.08792533357865,0.21343908902529
21,DL,ST,2.3,0.1574581396788,1.31678803502498,1.07533619811882,0.22385010348874
11,DL,BF,10.6,0.36158575949182,1.08858467044692,1.10253050842244,0.43644543197312
12,DL,BF,2.8,0.19694672861526,1.27916622532124,1.10710844697458,0.28311932592921
13,DL,BF,12.1,0.09916907680118,1.37549570212255,1.09013350870441,0.15561339415625
14,DL,BF,9.3,0.25278501306676,1.15067099881895,1.10002541651391,0.37112740748045
15,DL,BF,-1.8,0.1851297751831,1.32100721872751,1.09558579297765,0.27021946912294
16,DL,BF,10.8,0.24721885075483,1.4747479867526,1.11708548984137,0.39445951677934
17,DL,BF,9.9,0.1851297751831,1.32100721872751,1.09558579297765,0.27021946912294
18,DL,BF,-2.5,0.5188497113992,1.13204371254311,1.07610433117989,0.65559193299659
19,DL,BF,6.4,0.31761358992824,1.24903159884545,1.07856462473095,0.43567005506067
20,DL,BF,8.9,0.27291138747329,1.20429257214572,1.08544109185973,0.35910732871707
21,DL,BF,11.3,0.32613093486197,1.35779341342197,1.07759419802455,0.49011462735136
